protein,degree,clustering_coefficient,betweenness_centrality,closeness_centrality,pagerank,drug_target
DCN,76,0.23087719298245615,0.00038407495641101824,0.30960956925172667,0.0002818084004565841,0
MMP9,138,0.1902041679889982,0.004033705164151363,0.3563031942651478,0.00043529224605328527,1
BGLAP,49,0.15476190476190477,0.001351280241219986,0.31875224347897807,0.00020630379617035525,1
POSTN,28,0.4417989417989418,8.188335171577199e-05,0.2811267401091818,0.00011200269787711741,0
COL6A1,52,0.4396681749622926,0.00015396083432590505,0.2829771463479298,0.00017864075855701978,0
THBS1,78,0.25041625041625043,0.00029579836166273676,0.3161267397850969,0.0002580243676399362,0
SPARC,36,0.2523809523809524,0.00033071568272566033,0.29413636374120167,0.0001642655954979226,1
FBN1,48,0.28191489361702127,0.0012216086479574554,0.28799689504831133,0.00023522334042527272,0
COL1A1,110,0.18882402001668055,0.002803478467213171,0.31516196839826216,0.0004079512967085908,1
COL1A2,83,0.25066118131060827,0.0005540684932923561,0.2952547529569477,0.0003026333597027373,0
COL3A1,58,0.278886872353297,0.0005218424168602478,0.2881128625049001,0.00024589195940224686,1
CCN2,54,0.2501747030048917,0.0009709925373811174,0.31782181621836303,0.0001823276720430034,0
ACAN,48,0.18262411347517732,0.0009219008907283591,0.30610891100019455,0.00021804268223214477,0
LUM,36,0.3380952380952381,0.002220144840408751,0.28778177440733066,0.0002142512649473277,1
BGN,55,0.2579124579124579,0.0009764897918722072,0.3056232610315586,0.00020958328745278643,0
ELN,58,0.17301875378100423,0.002111488400163455,0.3068684864617334,0.0002712262962464637,1
FN1,266,0.11559086395233366,0.010020682563382267,0.3629255463052196,0.0008780975465752276,1
TIMP1,42,0.3612078977932636,0.0005412639726912792,0.3095234682684042,0.00014663487733622806,0
ITGB1,170,0.1642882004872955,0.0030788207464764665,0.3427112800154082,0.0005815012737588433,1
CD44,228,0.12848751835535976,0.006477923376817486,0.3657747755630748,0.000730264635113983,1
ITGB8,55,0.5582491582491582,5.631693759884607e-06,0.304425102676504,0.00017247339844606913,0
COL6A2,47,0.4838112858464385,0.0001388396955930329,0.2814743172858931,0.00016585971149449472,0
COL6A3,43,0.5437430786267996,0.00016480122999995364,0.2828812516893159,0.00015060939776633458,0
ITGB6,71,0.4100603621730382,0.000410026653798271,0.30882685915557917,0.00023114199842605502,0
ITGB5,71,0.4334004024144869,0.0001386298391734506,0.3095712962349455,0.00022643049565261296,0
ITGB3,113,0.24557522123893805,0.0015587823340951058,0.33099088037174085,0.0003769522595194512,1
ITGA1,63,0.46953405017921146,0.000377905505575954,0.30644603535151627,0.00020384748578279488,0
ITGA3,64,0.4642857142857143,7.544010383328393e-05,0.3068684864617334,0.00020592253266151232,0
ITGA5,85,0.34509803921568627,0.0005367963262587652,0.3178823306540482,0.00027146317688457274,1
ITGA2,84,0.35111876075731496,0.0004751805140654661,0.3127121407164601,0.0002621844733242023,0
ITGA11,54,0.5751222921034241,0.0003190096293208347,0.2974024108892098,0.00016777089352827343,0
ITGAV,89,0.3258426966292135,0.00045532776887232404,0.3161367166436396,0.0002920017226315897,1
ACTA2,33,0.3181818181818182,0.00027218869470808807,0.28531453483637714,0.0001228416425790368,0
COL12A1,20,0.5368421052631579,3.32983115759116e-05,0.250190019570667,8.72817498198455e-05,0
DDR2,6,0.5333333333333333,1.2217578427557522e-05,0.26135904202182186,3.3012489923551674e-05,1
P4HA2,19,0.26900584795321636,7.698041716295251e-05,0.2660586455131571,0.00010931883222592789,1
PDGFB,40,0.47307692307692306,5.4344615155427967e-05,0.31327937462299815,0.0001199935228715253,0
COL2A1,52,0.2209653092006033,0.0008630378045387997,0.2890272953883769,0.00020618867071987225,1
COL11A2,20,0.43157894736842106,0.00023586222057773488,0.26387197733444934,8.79172101124794e-05,0
VWF,93,0.18045815801776532,0.002037438595109904,0.32026050270382905,0.00034102101068557244,1
SP7,18,0.4117647058823529,3.9159535794714364e-05,0.29009029577974477,8.09359141786608e-05,0
PPIB,25,0.3,0.0001910972230755837,0.27761294802456465,0.00013275252962431528,1
SERPINH1,23,0.47035573122529645,0.00020760538158163264,0.27787478164638035,0.00010135684890399236,0
ADAMTS2,10,0.6888888888888889,1.0623981241354368e-05,0.2466903414167947,5.2228294150266626e-05,0
GP6,42,0.23344947735191637,0.00023142572470750264,0.2952547529569477,0.00016260119919348748,0
P3H1,23,0.36363636363636365,0.00018109461357658632,0.25629689907814873,0.00011569948685620032,1
RUNX2,90,0.17203495630461924,0.0022017496136297393,0.34139145264707127,0.0003067957368525169,0
COL11A1,25,0.49666666666666665,1.1042054577240997e-05,0.24789299422332564,0.00011192081325597936,0
CRTAP,15,0.5047619047619047,7.611885819037046e-05,0.2543381491321662,8.076326640241963e-05,0
COL5A1,40,0.36538461538461536,0.0002398265395039069,0.27437366138679137,0.00017906096475141665,0
COL5A2,35,0.44201680672268906,2.3303899593304163e-05,0.27437366138679137,0.0001495803646303055,0
GSTA3,55,0.5784511784511784,4.9214609398607314e-05,0.28402824099949997,0.000151520631076075,1
ADH5,45,0.2080808080808081,0.00041253181480703483,0.27976059888204113,0.0001492578243699061,1
GSTA5,51,0.6298039215686274,0.00013553937549444552,0.27891930733336207,0.00013987023957697512,1
ALDH3B2,32,0.34274193548387094,0.00010778176524649024,0.27190846915229006,0.00011426087225107267,1
ALDH3B1,38,0.33001422475106684,0.00011246910511825448,0.27322862919563484,0.00012678049019052646,1
GSTP1,73,0.3808980213089802,0.0020053190863908647,0.31186513087080836,0.00020550270912274667,1
ALDH3A1,45,0.3515151515151515,0.00015638975843224246,0.273265897470343,0.0001489406180467547,1
GSTM3,54,0.6002795248078266,1.2517607527429104e-05,0.2796512563810822,0.00015031772508403607,1
GSTM1,66,0.44195804195804195,0.00035131276240700824,0.2893528988003803,0.00019903847463512654,1
MGST3,46,0.6695652173913044,7.552863701029517e-05,0.27351212329539004,0.0001349118201753462,1
GSTA4,54,0.6030747728860937,2.9273331028454044e-05,0.28013613746770977,0.0001504834922089103,1
MGST2,44,0.7114164904862579,2.956188360537972e-05,0.27384111546119094,0.0001258730593214639,1
HPGDS,72,0.399452269170579,0.00040995287615076164,0.29107653872175177,0.00021743288740365673,1
GSTM5,52,0.6259426847662142,5.8533546030684206e-05,0.27379620629668083,0.00014859374768625487,1
GSTO2,56,0.5642857142857143,0.0001492620179311949,0.2777284020064979,0.00015971066161656842,1
GSTO1,57,0.5545112781954887,0.00021123688134237333,0.2820211155598515,0.0001626003269204075,1
MGST1,50,0.6146938775510205,2.990453979047896e-05,0.2743285773947793,0.00014585565525441894,1
CYP2E1,108,0.23970231914157147,0.001397134196799376,0.30279632439303444,0.00035319155548571373,1
GSTA1,67,0.4789687924016282,0.0003011111720350529,0.28586005375179396,0.00018679106106008451,1
CYP26A1,70,0.3184265010351967,0.0007708937152436491,0.2773055395058651,0.00023353226178051428,0
UGT2B4,51,0.23450980392156862,0.0001404832976292147,0.2745315721215294,0.00015937839234373354,0
PNPLA4,23,0.2964426877470356,1.1553579599972874e-05,0.2522248018020991,9.266138251899269e-05,0
AWAT2,25,0.35333333333333333,9.798163440232423e-05,0.26913963307908234,9.868425369047042e-05,0
AOX1,86,0.2207934336525308,0.0009350939736063187,0.281174086441654,0.00032144735157669765,1
DGAT1,68,0.16900790166812993,0.001491461050494412,0.28856935452338794,0.0002456386720934333,0
CYP27C1,24,0.4673913043478261,4.393704834676785e-05,0.24997774015697657,9.45972443400242e-05,0
RETSAT,29,0.31773399014778325,0.0002312175077911983,0.258987227973793,0.00011657662305700869,1
ALDH1A1,58,0.294615849969752,0.0017871449748283457,0.3058939140553445,0.00019244717389477913,1
LRAT,43,0.21705426356589147,0.000521568619812824,0.2615911002943192,0.00017913854013374897,1
ALDH1A3,41,0.37073170731707317,1.3112747217338306e-05,0.2626060559331594,0.00014344216990801146,1
ALDH1A2,40,0.3871794871794872,2.5832013647959786e-05,0.2624959514575186,0.00013891506981197988,1
BCO1,24,0.391304347826087,8.35310525101487e-05,0.2660091882935541,9.39544825770316e-05,0
ALDH2,64,0.1974206349206349,0.0009914174692182767,0.2850952869868615,0.00024355624303027616,1
AVP,29,0.2019704433497537,0.0005750131476686372,0.2789115412382115,0.00012972724181108895,0
ALDH3A2,59,0.21507890122735243,0.0001176368194504688,0.27812166486854445,0.0002327028199750879,1
ALDH1B1,57,0.22556390977443608,0.00013730102176664235,0.27800588375805857,0.00021805800673094155,1
MAOB,54,0.1893780573025856,0.0003523272870354265,0.2974200713649159,0.00021576838664907858,1
MAOA,57,0.18045112781954886,0.0006754573159944977,0.3021296336471231,0.00022406999408936917,1
NOS1,64,0.17162698412698413,0.001249157221537467,0.31984124664166685,0.00025054573312243626,1
ADHFE1,15,0.18095238095238095,6.422098290202035e-05,0.25291895176413587,6.393962635988665e-05,0
CES5A,3,0.6666666666666666,2.089382977466359e-05,0.22232079374060337,3.0192652961148738e-05,0
ALDH7A1,95,0.07950727883538634,0.0026501340861197907,0.30658672309155466,0.000355378934211598,1
ALDH9A1,58,0.16696914700544466,0.0004495542580788937,0.2791524914605497,0.00022085469289824652,1
LRTOMT,41,0.32195121951219513,0.00016840977671480256,0.26569873487627294,0.00013803028184677872,0
COMT,62,0.1797990481226864,0.0010909451552117424,0.28943650505852137,0.00023546956299670026,1
ESD,20,0.07894736842105263,0.0004633531374180692,0.25015877940140263,0.00011028638838113162,1
AASDH,28,0.2275132275132275,0.00033243224265771246,0.26854797468084945,0.00013701951438548445,0
ALAD,13,0.3974358974358974,0.00010197054587766608,0.2560544976756822,7.968712169450961e-05,1
FASN,72,0.14945226917057902,0.0032032033021642116,0.3131912207219349,0.00027912220002820085,1
AK1,41,0.42560975609756097,0.0003291033952020881,0.2828173580160469,0.00012607667553029653,0
UROD,9,0.7777777777777778,1.3732479456417312e-05,0.23834934693340867,6.378895302706626e-05,0
ALAS2,40,0.2153846153846154,0.0007119592169755953,0.2655367406311729,0.0002036893625306018,1
ALAS1,24,0.31521739130434784,0.0004217441837260427,0.26186463816093813,0.00013000916444464922,1
FECH,38,0.17069701280227595,0.0008942129593697182,0.27408837944483444,0.0002142414921516428,1
UROS,10,0.7555555555555555,1.2374970742244254e-05,0.23511578461613344,6.975768726669652e-05,0
HMBS,12,0.5303030303030303,9.048582541536865e-05,0.24683015064362826,7.616657335954334e-05,0
CPOX,13,0.5256410256410257,3.1119411719467165e-05,0.2294659825805279,9.649729780267471e-05,0
PPOX,15,0.3904761904761905,0.000177784456458331,0.24877335726345715,9.637291200225605e-05,1
ACO1,44,0.24735729386892177,0.0007677580715385977,0.292333742005789,0.00017142738582809626,0
OAT,36,0.16666666666666666,0.0008777793982628178,0.274501479874229,0.0002021576472421474,1
CYP51A1,39,0.39946018893387314,0.00022482016600049387,0.27408088003640046,0.00017295013952689628,1
HSD3B2,56,0.32012987012987015,0.0005052899917656934,0.28364220193596007,0.00019232958154955423,1
HSD3B1,66,0.3072261072261072,0.0002604550976481922,0.28044200575521055,0.00022039794613261745,1
SIGMAR1,31,0.1956989247311828,0.0012207323334553716,0.2899307671076806,0.00014369795859066025,1
SC5D,30,0.542528735632184,2.5713969411944736e-05,0.2631303160989352,0.0001329730328674368,0
HSD17B7,42,0.33914053426248547,0.00019170383928843881,0.26779415076646435,0.000173096354110091,1
FDFT1,46,0.3352657004830918,0.0006661678904214245,0.29065424801446044,0.00020480231174337934,0
SQLE,47,0.32377428307123035,0.0010178610175889257,0.27381117438143354,0.00022467890975021772,1
LSS,38,0.44523470839260315,5.7408846781985266e-05,0.2633586077287403,0.00016633438504893067,0
HSD17B2,32,0.594758064516129,1.991012780787152e-05,0.2624959514575186,0.00011442228181635147,1
UGT1A1,69,0.3546462063086104,9.791769377448275e-05,0.28148222675612905,0.00021514351481801474,1
UGT1A6,68,0.3674275680421422,0.0001179898045062196,0.28081150492179763,0.00021298711626418205,0
UGT1A4,68,0.36435469710272167,0.00016979712438863512,0.2812372396981966,0.000211211774789905,0
UGT1A8,68,0.36611062335381916,9.308165095540512e-05,0.2800421583329708,0.00020996381808519805,0
UGT2B17,62,0.22474881015335801,0.0006068678766082817,0.27944062274584663,0.0002076957095004727,0
UGT2B15,58,0.27041742286751363,2.687473773275938e-05,0.27473486749047926,0.0001779986689566936,0
