preferredName_A,preferredName_B,score
DCN,MMP9,0.713
DCN,BGLAP,0.731
DCN,POSTN,0.758
DCN,COL6A1,0.824
DCN,THBS1,0.854
DCN,SPARC,0.905
DCN,FBN1,0.912
DCN,COL1A1,0.923
DCN,COL1A2,0.93
DCN,COL3A1,0.935
DCN,CCN2,0.939
DCN,ACAN,0.962
DCN,LUM,0.978
DCN,BGN,0.989
DCN,ELN,0.993
DCN,FN1,0.996
TIMP1,ITGB1,0.753
TIMP1,THBS1,0.762
TIMP1,CCN2,0.816
TIMP1,COL1A1,0.842
TIMP1,CD44,0.922
TIMP1,FN1,0.954
TIMP1,MMP9,0.999
ITGB8,COL6A2,0.713
ITGB8,COL6A3,0.722
ITGB8,COL1A2,0.723
ITGB8,COL6A1,0.769
ITGB8,THBS1,0.775
ITGB8,COL1A1,0.832
ITGB8,FN1,0.93
ITGB8,ITGB6,0.932
ITGB8,ITGB1,0.94
ITGB8,ITGB5,0.945
ITGB8,ITGB3,0.947
ITGB8,ITGA1,0.963
ITGB8,ITGA3,0.963
ITGB8,ITGA5,0.965
ITGB8,ITGA2,0.966
ITGB8,ITGA11,0.967
ITGB8,ITGAV,0.999
ACTA2,FBN1,0.721
ACTA2,CCN2,0.727
ACTA2,POSTN,0.73
ACTA2,COL1A2,0.814
ACTA2,COL3A1,0.882
ACTA2,COL1A1,0.928
COL1A1,ACAN,0.835
COL1A1,COL12A1,0.836
COL1A1,MMP9,0.84
COL1A1,ITGA3,0.848
COL1A1,ITGB6,0.851
COL1A1,DDR2,0.856
COL1A1,ITGB5,0.859
COL1A1,P4HA2,0.863
COL1A1,PDGFB,0.864
COL1A1,COL2A1,0.867
COL1A1,COL11A2,0.868
COL1A1,ITGAV,0.874
COL1A1,ELN,0.876
COL1A1,CCN2,0.876
COL1A1,VWF,0.877
COL1A1,ITGA1,0.879
COL1A1,SP7,0.88
COL1A1,ITGA11,0.888
COL1A1,BGLAP,0.889
COL1A1,PPIB,0.893
COL1A1,THBS1,0.896
COL1A1,POSTN,0.903
COL1A1,SERPINH1,0.921
COL1A1,FBN1,0.929
COL1A1,ITGB3,0.932
COL1A1,ADAMTS2,0.936
COL1A1,GP6,0.943
COL1A1,ITGA5,0.944
COL1A1,P3H1,0.945
COL1A1,COL6A2,0.954
COL1A1,RUNX2,0.955
COL1A1,COL11A1,0.965
COL1A1,SPARC,0.968
COL1A1,COL6A1,0.969
COL1A1,CRTAP,0.971
COL1A1,COL6A3,0.974
COL1A1,BGN,0.974
COL1A1,FN1,0.974
COL1A1,LUM,0.981
COL1A1,ITGA2,0.983
COL1A1,ITGB1,0.984
COL1A1,CD44,0.987
COL1A1,COL5A1,0.994
COL1A1,COL5A2,0.995
COL1A1,COL3A1,0.999
COL1A1,COL1A2,0.999
SPARC,BGN,0.724
SPARC,RUNX2,0.757
SPARC,CCN2,0.764
SPARC,VWF,0.765
SPARC,POSTN,0.797
SPARC,THBS1,0.847
SPARC,COL3A1,0.911
SPARC,LUM,0.954
SPARC,COL1A2,0.959
SPARC,FN1,0.969
SPARC,BGLAP,0.991
P3H1,COL6A3,0.706
P3H1,COL6A1,0.744
P3H1,COL2A1,0.745
P3H1,COL5A2,0.793
P3H1,COL5A1,0.796
P3H1,P4HA2,0.827
P3H1,SERPINH1,0.911
P3H1,COL1A2,0.945
P3H1,PPIB,0.999
P3H1,CRTAP,0.999
ADAMTS2,FBN1,0.736
ADAMTS2,COL5A2,0.797
ADAMTS2,COL5A1,0.826
ADAMTS2,COL3A1,0.891
ADAMTS2,COL1A2,0.946
THBS1,PDGFB,0.741
THBS1,CCN2,0.749
THBS1,ITGA11,0.749
THBS1,ITGA1,0.758
THBS1,CD44,0.767
THBS1,VWF,0.771
THBS1,ITGB6,0.775
THBS1,COL6A1,0.778
THBS1,BGN,0.779
THBS1,COL6A2,0.784
THBS1,FBN1,0.801
THBS1,ITGA5,0.812
THBS1,ITGB5,0.859
