protein,degree,clustering_coefficient,drug_target
DCN,77,0.22693096377306904,0
MMP9,138,0.1902041679889982,1
BGLAP,49,0.15476190476190477,1
POSTN,29,0.41625615763546797,0
COL6A1,52,0.4411764705882353,0
THBS1,78,0.25041625041625043,0
SPARC,36,0.2523809523809524,1
FBN1,48,0.28368794326241137,0
COL1A1,110,0.19049207673060883,1
COL1A2,83,0.25359976491331176,0
COL3A1,58,0.2849364791288566,1
CCN2,54,0.2501747030048917,0
ACAN,50,0.17551020408163265,0
LUM,48,0.2375886524822695,1
BGN,55,0.25925925925925924,0
ELN,58,0.17422867513611615,1
FN1,267,0.11523189997465574,1
TIMP1,42,0.3612078977932636,0
ITGB1,170,0.1642882004872955,1
CD44,228,0.12848751835535976,1
ITGB8,55,0.5582491582491582,0
COL6A2,48,0.47429078014184395,0
COL6A3,43,0.5448504983388704,0
ITGB6,71,0.4100603621730382,0
ITGB5,71,0.4334004024144869,0
ITGB3,113,0.24557522123893805,1
ITGA1,63,0.46953405017921146,0
ITGA3,64,0.4642857142857143,0
ITGA5,85,0.34509803921568627,1
ITGA2,84,0.35111876075731496,0
ITGA11,54,0.5751222921034241,0
ITGAV,89,0.3258426966292135,1
ACTA2,33,0.3181818181818182,0
COL12A1,24,0.4963768115942029,0
DDR2,6,0.5333333333333333,1
P4HA2,19,0.26900584795321636,1
PDGFB,40,0.47307692307692306,0
COL2A1,52,0.2209653092006033,1
COL11A2,20,0.43157894736842106,0
VWF,93,0.18045815801776532,1
SP7,18,0.4117647058823529,0
PPIB,25,0.3,1
SERPINH1,23,0.47035573122529645,0
ADAMTS2,10,0.6888888888888889,0
GP6,42,0.23344947735191637,0
P3H1,23,0.36363636363636365,1
RUNX2,90,0.17203495630461924,0
COL11A1,26,0.48307692307692307,0
CRTAP,15,0.5047619047619047,0
COL5A1,41,0.36341463414634145,0
COL5A2,36,0.4365079365079365,0
GSTA3,55,0.5784511784511784,1
ADH5,45,0.2080808080808081,1
GSTA5,51,0.6298039215686274,1
ALDH3B2,32,0.34274193548387094,1
ALDH3B1,38,0.33001422475106684,1
GSTP1,73,0.3808980213089802,1
ALDH3A1,45,0.3515151515151515,1
GSTM3,54,0.6002795248078266,1
GSTM1,66,0.44195804195804195,1
MGST3,46,0.6695652173913044,1
GSTA4,54,0.6030747728860937,1
MGST2,44,0.7114164904862579,1
HPGDS,72,0.399452269170579,1
GSTM5,52,0.6259426847662142,1
GSTO2,56,0.5642857142857143,1
GSTO1,57,0.5545112781954887,1
MGST1,50,0.6146938775510205,1
CYP2E1,108,0.23970231914157147,1
GSTA1,67,0.4789687924016282,1
CYP26A1,70,0.3184265010351967,0
UGT2B4,51,0.23450980392156862,0
PNPLA4,23,0.2964426877470356,0
AWAT2,25,0.35333333333333333,0
AOX1,86,0.2207934336525308,1
DGAT1,68,0.16900790166812993,0
CYP27C1,24,0.4673913043478261,0
RETSAT,29,0.31773399014778325,1
ALDH1A1,58,0.294615849969752,1
LRAT,43,0.21705426356589147,1
ALDH1A3,41,0.37073170731707317,1
ALDH1A2,40,0.3871794871794872,1
BCO1,24,0.391304347826087,0
ALDH2,64,0.1974206349206349,1
AVP,29,0.2019704433497537,0
ALDH3A2,59,0.21507890122735243,1
ALDH1B1,57,0.22556390977443608,1
MAOB,54,0.1893780573025856,1
MAOA,57,0.18045112781954886,1
NOS1,64,0.17162698412698413,1
ADHFE1,15,0.18095238095238095,0
CES5A,3,0.6666666666666666,0
ALDH7A1,95,0.07950727883538634,1
ALDH9A1,58,0.16696914700544466,1
LRTOMT,41,0.32195121951219513,0
COMT,62,0.1797990481226864,1
ESD,20,0.07894736842105263,1
AASDH,28,0.2275132275132275,0
ALAD,13,0.3974358974358974,1
FASN,72,0.14945226917057902,1
AK1,41,0.42560975609756097,0
UROD,9,0.7777777777777778,0
ALAS2,40,0.2153846153846154,1
ALAS1,24,0.31521739130434784,1
FECH,38,0.17069701280227595,1
UROS,10,0.7555555555555555,0
HMBS,12,0.5303030303030303,0
CPOX,13,0.5256410256410257,0
PPOX,15,0.3904761904761905,1
ACO1,44,0.24735729386892177,0
OAT,36,0.16666666666666666,1
CYP51A1,39,0.39946018893387314,1
HSD3B2,56,0.32012987012987015,1
HSD3B1,66,0.3072261072261072,1
SIGMAR1,31,0.1956989247311828,1
SC5D,30,0.542528735632184,0
HSD17B7,42,0.33914053426248547,1
FDFT1,46,0.3352657004830918,0
SQLE,47,0.32377428307123035,1
LSS,38,0.44523470839260315,0
HSD17B2,32,0.594758064516129,1
UGT1A1,69,0.3546462063086104,1
UGT1A6,68,0.3674275680421422,0
UGT1A4,68,0.36435469710272167,0
UGT1A8,68,0.36611062335381916,0
UGT2B17,62,0.22474881015335801,0
UGT2B15,58,0.27041742286751363,0
UGT1A10,66,0.3710955710955711,0
HSD17B6,41,0.37926829268292683,0
CYP11B2,34,0.34402852049910876,1
AKR1D1,45,0.3383838383838384,1
CYP3A4,115,0.23310450038138825,1
HSD17B8,37,0.3138138138138138,1
CYP3A5,81,0.36234567901234566,1
CYP11B1,28,0.46825396825396826,1
SRD5A3,30,0.4045977011494253,1
SRD5A2,28,0.5502645502645502,1
CYP1A1,100,0.2963636363636364,0
CYP19A1,61,0.2923497267759563,1
CYP17A1,48,0.3271276595744681,1
SRD5A1,43,0.4097452934662237,1
AKR1C3,61,0.3650273224043716,1
DHRS11,20,0.38421052631578945,0
HSD17B3,42,0.3612078977932636,1
HSD17B1,35,0.44201680672268906,1
SULT2B1,27,0.3646723646723647,1
CYP21A2,28,0.3492063492063492,1
CYP1A2,91,0.3094017094017094,1
CYP11A1,34,0.23351158645276293,1
ENSP00000480571,49,0.5093537414965986,0
CYP3A7,51,0.48705882352941177,1
CYP7B1,19,0.3216374269005848,0
STS,31,0.32688172043010755,0
CYP7A1,69,0.1815856777493606,0
HSD11B1L,15,0.5333333333333333,0
HSD11B2,23,0.3675889328063241,1
HSD11B1,25,0.4033333333333333,1
AKR1C1,41,0.4219512195121951,1
LHCGR,42,0.1602787456445993,1
STAR,29,0.3251231527093596,0
FAU,169,0.32776838546069315,0
CALY,1,0.0,1
DRD1,32,0.1532258064516129,1
PPP1R1B,14,0.23076923076923078,0
GRIN2A,79,0.21940928270042195,1
TSHB,25,0.3566666666666667,0
FSHB,28,0.1931216931216931,0
IGHV3-16,96,0.10701754385964912,0
GNB1,213,0.09177075028789086,0
GNG2,176,0.09649350649350649,1
POMC,137,0.10755689136968656,1
DRD5,21,0.2714285714285714,1
GNAS,140,0.11079136690647481,0
SLC6A4,31,0.17634408602150536,1
DRD3,21,0.5904761904761905,1
BDNF,105,0.14267399267399267,1
SLC6A3,41,0.11829268292682926,1
GNAQ,155,0.09853372434017596,0
ARRB2,105,0.09926739926739926,0
GIP,37,0.3078078078078078,0
NPPA,39,0.10931174089068826,0
GCG,100,0.13414141414141414,0
VIP,47,0.1942645698427382,0
ADCYAP1,32,0.3911290322580645,0
GNAL,50,0.3240816326530612,0
GRIA1,69,0.22719522591645352,1
DLG4,138,0.09362107267534116,1
TMTC1,3,0.6666666666666666,0
ADORA1,18,0.2679738562091503,1
HRH3,5,0.1,1
DNAJC14,1,0.0,0
CHRNA4,22,0.3333333333333333,1
RDM1,1,0.0,0
ERG28,20,0.5947368421052631,0
MSMO1,33,0.5,1
UGT2B7,57,0.25,0
SULT2A1,14,0.5164835164835165,0
UGT2A3,47,0.26179463459759483,0
NR5A1,26,0.2953846153846154,0
NR4A1,24,0.36231884057971014,0
OXT,46,0.2144927536231884,0
SST,87,0.1635926222935044,1
KNG1,90,0.12983770287141075,1
NPY,83,0.16279753158977373,1
ADORA3,5,0.7,1
GNAI3,112,0.17454954954954954,0
GNAI1,155,0.12928361960620025,0
GNAI2,124,0.15499606608969316,0
NT5E,103,0.20616790405482582,1
ADORA2A,33,0.17613636363636365,1
ADA,35,0.35126050420168065,1
GHRL,66,0.19487179487179487,0
P2RY1,37,0.3888888888888889,1
EDN1,49,0.1649659863945578,0
SLC29A1,12,0.24242424242424243,1
GNA15,46,0.221256038647343,0
PTGER1,13,0.41025641025641024,1
GNG10,34,0.5062388591800356,0
PTGES2,13,0.41025641025641024,0
ADRB2,58,0.14095583787053842,1
PTGES,21,0.23333333333333334,0
PTGS1,56,0.22207792207792207,1
PTGS2,94,0.21505376344086022,1
PTGER4,23,0.48616600790513836,1
HSD17B4,45,0.19494949494949496,1
HSD17B12,26,0.3169230769230769,0
CYP1B1,60,0.3107344632768362,1
SULT1E1,38,0.3157894736842105,1
DLD,65,0.2673076923076923,1
ENSP00000491651,14,0.5054945054945055,0
ENSP00000492798,14,0.5054945054945055,0
OCA2,23,0.1541501976284585,0
GLS,44,0.339323467230444,1
GLS2,44,0.32452431289640593,1
GAD2,81,0.17716049382716048,1
GAD1,76,0.20140350877192983,1
GLUD2,67,0.25237449118046135,1
GLUL,60,0.2231638418079096,1
GLUD1,74,0.21880784894483524,1
ALDH4A1,46,0.32270531400966185,1
AGXT,57,0.14598997493734336,1
SHMT1,65,0.23653846153846153,1
SHMT2,70,0.20952380952380953,1
GCSH,36,0.2968253968253968,0
GLDC,57,0.243734335839599,1
AMT,38,0.3627311522048364,1
MTFMT,18,0.49019607843137253,0
MTHFD1L,25,0.6066666666666667,0
FTCD,47,0.2590194264569843,1
MTR,55,0.26262626262626265,1
DHFR,44,0.2452431289640592,1
DHFR2,38,0.27880512091038406,0
GART,72,0.13693270735524257,1
MTHFD1,38,0.36984352773826457,1
MTHFD2L,25,0.5533333333333333,0
MTHFD2,34,0.43137254901960786,1
ATIC,72,0.2535211267605634,1
MTHFR,49,0.2261904761904762,1
TYMS,112,0.16747104247104247,1
MYBPH,14,0.2967032967032967,0
ALDH1L2,14,0.8461538461538461,0
ALDH1L1,16,0.5666666666666667,0
GCAT,4,0.0,1
PIPOX,16,0.5583333333333333,1
GRHPR,28,0.17989417989417988,0
NICN1,1,0.0,0
IBA57,30,0.38850574712643676,0
SDHB,121,0.33539944903581265,0
ACO2,104,0.22143390589992532,0
IDH2,71,0.2498993963782696,1
IDH1,79,0.21876014281077572,1
SDHA,122,0.2547080341417152,1
UQCRC2,120,0.5005602240896359,0
SUCLG2,58,0.2970356926799758,0
IDH3G,46,0.43285024154589374,1
IDH3B,57,0.31892230576441105,1
IDH3A,51,0.40862745098039216,1
CS,118,0.18962769810227437,1
ATP5F1C,134,0.2744922006508809,1
ATP5F1A,142,0.20657276995305165,1
MDH2,79,0.2625770853618955,1
SUCLG1,91,0.23028083028083027,0
FH,71,0.23018108651911467,0
SUCLA2,57,0.35776942355889724,0
OGDHL,39,0.5371120107962213,0
BCKDHA,48,0.2978723404255319,0
DLST,56,0.36818181818181817,0
PDHA1,40,0.36538461538461536,1
DBT,61,0.292896174863388,0
OGDH,53,0.41219158200290273,1
DLAT,66,0.27365967365967364,1
BCKDHB,51,0.27215686274509804,0
PDHB,83,0.23009109609168382,1
PDHX,38,0.39971550497866287,0
GOT2,93,0.16830294530154277,1
HMGCL,41,0.3182926829268293,0
NDUFV1,115,0.5217391304347826,1
HACL1,20,0.25263157894736843,0
ILVBL,17,0.3235294117647059,0
IL4I1,58,0.20629159104658198,1
NIT2,20,0.7684210526315789,0
ADSL,83,0.24537173082574198,0
GOT1L1,70,0.23933747412008283,0
GPT,53,0.21480406386066764,1
RIMKLB,18,0.40522875816993464,0
GOT1,68,0.24319578577699735,1
ALDH5A1,20,0.3105263157894737,1
GPT2,30,0.39080459770114945,1
HMGCLL1,32,0.3951612903225806,0
ASL,36,0.2968253968253968,1
SLC25A3,16,0.5416666666666666,0
ATP5PB,75,0.49873873873873875,0
NNT,19,0.6608187134502924,1
KIAA1217,1,0.0,0
CFTR,61,0.09344262295081968,1
NEDD4L,22,0.24242424242424243,0
SCNN1A,24,0.37318840579710144,1
SCNN1G,23,0.42292490118577075,1
SCNN1B,22,0.4458874458874459,1
KCNJ1,22,0.23376623376623376,1
WNK4,13,0.2692307692307692,0
SLC12A3,19,0.22807017543859648,1
TRPM4,28,0.2962962962962963,1
SCNN1D,13,0.8461538461538461,1
SCN4A,32,0.2842741935483871,1
SCN4B,34,0.3600713012477718,1
SCN2A,50,0.2383673469387755,1
SCN10A,25,0.3333333333333333,1
SCN3B,31,0.3935483870967742,1
SCN2B,25,0.48,1
SCN1B,47,0.23866790009250693,1
SCN5A,76,0.16842105263157894,1
REN,52,0.15535444947209653,1
NR3C2,24,0.2427536231884058,1
WNK1,17,0.27205882352941174,0
SGK1,30,0.19080459770114944,1
NEDD4,29,0.2044334975369458,0
EBP,15,0.5428571428571428,1
MVK,30,0.5448275862068965,0
INSIG1,22,0.47619047619047616,0
MVD,27,0.5612535612535613,0
FDPS,32,0.5100806451612904,1
IDI1,30,0.5195402298850574,0
HMGCR,67,0.20081411126187246,1
FAXDC2,13,0.6282051282051282,0
CH25H,26,0.4338461538461538,0
DHCR7,42,0.3403019744483159,1
HMGCS1,51,0.3427450980392157,0
NSDHL,27,0.5299145299145299,1
DHCR24,32,0.4314516129032258,0
LBR,21,0.44285714285714284,0
TM7SF2,18,0.7516339869281046,0
UGDH,32,0.07459677419354839,1
GNPAT,45,0.2787878787878788,0
SLC32A1,27,0.32763532763532766,0
SLC12A5,11,0.12727272727272726,1
NTRK2,81,0.19783950617283952,1
GABRA1,34,0.3137254901960784,1
STK39,17,0.18382352941176472,1
WNK3,9,0.4166666666666667,0
NETO2,4,0.5,0
CTSZ,7,0.14285714285714285,0
TUBB1,25,0.26,1
ATP5F1E,55,0.5292929292929293,1
ITGA2B,80,0.23227848101265822,1
TUBA3C,10,0.3111111111111111,1
TCP1,76,0.263859649122807,0
TBCA,12,0.5454545454545454,0
TUBA4B,7,0.3333333333333333,0
SLPI,7,0.3333333333333333,0
DYNC1I2,28,0.47883597883597884,0
DYNC2H1,25,0.54,0
DYNC1H1,33,0.3731060606060606,0
ACRBP,3,0.6666666666666666,0
DYNC1I1,23,0.6363636363636364,0
GP9,18,0.38562091503267976,1
ARHGEF2,29,0.2733990147783251,0
MAPT,97,0.12328178694158076,1
GJA1,60,0.1271186440677966,1
TUBA1C,36,0.353968253968254,1
TUBA3D,27,0.35327635327635326,1
TUBA3E,30,0.23218390804597702,1
TUBA8,27,0.2564102564102564,1
TUBA1A,97,0.20403780068728522,1
TUBAL3,26,0.39692307692307693,0
TUBA4A,44,0.25898520084566595,1
TUBA1B,59,0.2016364699006429,1
ECH1,9,0.6111111111111112,0
MCCC2,32,0.2399193548387097,1
EHHADH,58,0.3297035692679976,1
ACACB,46,0.22705314009661837,1
PCCA,40,0.382051282051282,1
PCCB,51,0.3058823529411765,1
HADHA,38,0.4295874822190612,1
MCCC1,25,0.24,1
IVD,20,0.4263157894736842,1
ACADL,29,0.5098522167487685,0
ECHS1,42,0.41114982578397213,1
ACADSB,29,0.5492610837438424,1
ACADS,53,0.3265602322206096,1
USHBP1,2,1.0,0
BTD,7,0.5238095238095238,0
GATB,44,0.20718816067653276,0
NELFCD,31,0.6537634408602151,0
ACACA,55,0.20067340067340067,1
PC,63,0.21505376344086022,1
MCAT,15,0.37142857142857144,0
MCC,3,0.3333333333333333,0
AUH,14,0.5714285714285714,0
HLCS,8,0.8214285714285714,1
F5H5P2_HUMAN,23,0.4624505928853755,0
HPD,13,0.32051282051282054,1
HPDL,6,0.4666666666666667,0
GGT1,56,0.4155844155844156,1
GGT5,48,0.5097517730496454,0
GGT7,46,0.49178743961352656,0
GCLM,38,0.3655761024182077,1
OPLAH,21,0.5190476190476191,1
GCLC,47,0.3154486586493987,1
GGT6,49,0.4770408163265306,0
GFPT2,21,0.38571428571428573,0
CAD,34,0.37254901960784315,0
PPAT,43,0.2292358803986711,1
GFPT1,26,0.30153846153846153,0
ALDH18A1,67,0.1117141564902759,1
CARNS1,24,0.6340579710144928,0
CNDP1,25,0.5966666666666667,0
CNDP2,27,0.50997150997151,0
GATM,43,0.2558139534883721,1
ASPA,27,0.4843304843304843,1
CPS1,21,0.3047619047619048,1
L2HGDH,13,0.5512820512820513,0
TP53,569,0.05154830565112998,1
LGSN,12,0.7121212121212122,0
FDXR,34,0.1408199643493761,1
EARS2,75,0.3863063063063063,1
EPRS1,111,0.22751842751842752,1
HIP1,9,0.6944444444444444,0
SLC1A5,16,0.09166666666666666,1
DGLUCY,2,1.0,0
SLC3A1,8,0.2857142857142857,0
SLC7A11,13,0.20512820512820512,1
SLC3A2,18,0.16339869281045752,0
SLC7A6,3,1.0,0
SLC7A5,14,0.23076923076923078,0
GPX4,67,0.32881049298959747,1
NFE2L2,73,0.1811263318112633,1
OTUB1,2,1.0,0
BECN1,98,0.19987376393856512,1
SLC1A2,18,0.1503267973856209,1
ATF4,66,0.18787878787878787,1
NDUFB4,81,0.8379629629629629,1
NDUFAF3,52,0.8491704374057315,0
CYC1,127,0.4538182727159105,0
UQCRC1,109,0.5594631328576283,0
UQCRFS1,124,0.4846577498033045,0
MT-ND6,74,0.8659755646057016,1
MT-ND4L,77,0.8188653451811346,1
UQCR10,107,0.6080056427437842,0
UQCRB,108,0.6156109380408445,0
MT-ND1,90,0.685892634207241,1
MT-ND3,87,0.7201283079390537,1
UQCRQ,108,0.6092073381793008,0
TIMMDC1,39,0.863697705802969,0
MT-ND2,87,0.7150494520181769,1
MT-ND4,85,0.7383753501400561,1
NDUFB5,99,0.6876932591218305,1
NDUFA13,98,0.6829370923627183,1
NDUFC2,84,0.7977624784853701,1
NDUFB3,85,0.7859943977591036,1
NDUFAB1,149,0.34463994195537817,1
NDUFS1,108,0.555901696088612,1
NDUFV2,110,0.6013344453711427,1
MT-ND5,83,0.7560975609756098,1
NDUFA9,97,0.6703178694158075,1
NDUFA5,104,0.6467513069454817,1
NDUFB8,108,0.6285912080304603,1
NDUFB11,81,0.8388888888888889,0
NDUFA6,97,0.7023195876288659,1
NDUFS6,95,0.728107502799552,1
NDUFA12,105,0.6565934065934066,1
NDUFS3,125,0.48838709677419356,1
NDUFA3,77,0.8615857826384142,1
NDUFB9,101,0.684950495049505,1
NDUFA1,84,0.8006310958118187,1
NDUFA11,77,0.8605604921394395,1
NDUFB7,94,0.7270647449096317,1
NDUFS4,100,0.658989898989899,1
NDUFA7,78,0.8514818514818515,1
NDUFS7,98,0.6623185356616873,1
NDUFB6,87,0.8019246190858059,1
NDUFA10,83,0.7704966206288569,1
NDUFS8,120,0.5057422969187675,1
NDUFA8,93,0.7251051893408135,1
NDUFA2,91,0.7514041514041514,1
NDUFS5,89,0.7507660878447395,1
NDUFS2,117,0.5138520483348069,1
NDUFB10,88,0.7907523510971787,1
NDUFV3,75,0.8731531531531531,1
SHPK,6,0.4,0
FGGY,2,1.0,0
CTNS,5,0.1,1
HS1BP3,2,0.0,0
SLC66A1,1,0.0,0
TRPV1,52,0.1334841628959276,1
WARS2,38,0.8577524893314367,1
DARS2,40,0.4217948717948718,1
TARS3,38,0.844950213371266,0
TARS1,42,0.7096399535423926,1
TARS2,37,0.8843843843843844,1
FARS2,36,0.8111111111111111,1
HARS1,42,0.7038327526132404,1
NARS1,43,0.6500553709856035,1
GARS1,45,0.5808080808080808,1
CARS2,38,0.8278805120910384,1
IARS1,47,0.6271970397779834,1
KARS1,65,0.36875,1
NARS2,42,0.6980255516840883,1
LARS1,49,0.5756802721088435,1
RARS2,42,0.7363530778164924,0
SARS2-2,37,0.8498498498498499,0
LARS2,50,0.5518367346938775,1
SARS1,53,0.44847605224963716,1
SARS2,36,0.8428571428571429,0
AARS2,44,0.6395348837209303,1
IARS2,41,0.7682926829268293,1
AARS1,54,0.48986722571628233,1
QARS1,62,0.46536224219989425,0
MARS1,53,0.5043541364296081,0
PARS2,40,0.7782051282051282,1
VARS1,55,0.4666666666666667,1
VARS2,39,0.8083670715249662,0
MARS2,42,0.7421602787456446,0
YARS2,42,0.7247386759581882,1
YARS1,54,0.4758909853249476,1
WARS1,38,0.8193456614509246,1
FARSA,9,0.8333333333333334,1
FARSB,21,0.49523809523809526,1
NDUFAF5,31,0.843010752688172,0
LRRC47,44,0.6723044397463002,0
IL2,190,0.21882483987747145,1
TYK2,100,0.282020202020202,1
PRLR,29,0.42857142857142855,1
STAT1,211,0.15269690814714512,0
GHR,39,0.3697705802968961,1
EGF,186,0.17512351060738157,1
STAT3,275,0.1439681486396815,1
SHC1,123,0.23070771691323472,0
JAK2,178,0.19539135402780422,1
STAT5A,110,0.24487072560467055,0
STAT5B,101,0.2605940594059406,1
JAK1,139,0.24783651339797727,1
IL7,93,0.3749415614773259,0
IL6,358,0.1211523715631504,1
JAK3,104,0.29088872292755785,1
IL5,94,0.35644017387325555,1
GHSR,31,0.3247311827956989,1
GH2,21,0.5904761904761905,0
IGF1,144,0.19094794094794096,1
LEP,113,0.15360303413400758,0
GH1,29,0.43349753694581283,0
GHRHR,22,0.4069264069264069,1
GHRH,41,0.3439024390243902,0
EPO,60,0.2807909604519774,0
PRL,49,0.2763605442176871,0
CSH1,21,0.6238095238095238,0
CSH2,21,0.6190476190476191,0
IRS1,109,0.2218824328916072,0
SOCS2,20,0.5947368421052631,0
IGF1R,128,0.1793799212598425,1
SOCS1,50,0.39346938775510204,0
CISH,20,0.7736842105263158,0
PTPN11,148,0.1926824783967641,0
SOCS3,55,0.38922558922558925,0
ADAM17,12,0.24242424242424243,0
IGFBP3,36,0.21587301587301588,1
PROP1,6,0.9333333333333333,0
ENSP00000497443,6,0.6,0
CD22,47,0.23496762257169287,1
VPREB3,10,0.6888888888888889,0
CD69,59,0.5230859146697837,0
BLK,19,0.23976608187134502,1
BTLA,36,0.43492063492063493,0
PAX5,18,0.48366013071895425,0
CR2,31,0.36989247311827955,0
MS4A1,31,0.16344086021505377,1
CD79B,38,0.3015647226173542,1
CD79A,56,0.24415584415584415,0
CD19,130,0.20906380441264164,1
FCRL5,6,0.6,0
TCL1A,11,0.2909090909090909,0
CD3D,53,0.29898403483309144,1
IGLV10-54,12,0.3181818181818182,0
MZB1,6,0.6666666666666666,0
FCRLA,8,0.75,0
POU2AF1,12,0.5454545454545454,0
IGLL5,62,0.10946589106292967,0
SELL,79,0.3391755923401493,0
NIBAN3,4,0.8333333333333334,0
BANK1,3,1.0,0
MS4A3,11,0.6363636363636364,0
FCER1G,66,0.23263403263403262,1
FCER1A,14,0.2967032967032967,1
TNFRSF13C,28,0.373015873015873,0
MS4A7,4,0.3333333333333333,0
IFITM1,4,0.8333333333333334,0
FCRL1,3,0.3333333333333333,0
FCRL3,1,0.0,0
IGKV2D-29,15,0.42857142857142855,0
IGHV3-43D,65,0.12788461538461537,0
CD52,8,0.5714285714285714,1
CD48,27,0.4074074074074074,0
PTPRC,166,0.20525739320920044,0
CD2,87,0.2654370489174018,1
CD3E,63,0.32821300563236044,1
SIGLEC10,4,0.16666666666666666,0
CD53,7,0.6190476190476191,0
PLOD1,32,0.3004032258064516,1
SMYD3,3,0.3333333333333333,0
COL4A5,19,0.4152046783625731,0
COL9A3,18,0.42483660130718953,0
COL23A1,5,0.6,0
COL4A6,5,0.8,0
LOX,27,0.3076923076923077,0
COL4A2,41,0.3719512195121951,0
COL21A1,5,0.9,0
ZNF469,3,0.6666666666666666,0
COL4A1,54,0.45772187281621246,0
P3H4,3,0.3333333333333333,0
CHST14,3,0.6666666666666666,0
NSD1,2,1.0,0
P4HA1,19,0.27485380116959063,1
CAMKMT,8,0.2857142857142857,0
COLGALT2,13,0.3717948717948718,0
COLGALT1,10,0.6444444444444445,0
PLOD3,20,0.25263157894736843,1
PLOD2,23,0.31620553359683795,1
CREB3L3,33,0.4109848484848485,0
PRKACB,211,0.08422477995937712,1
FGF21,14,0.43956043956043955,0
PPARA,111,0.11154791154791155,1
CREBBP,166,0.1629791894852136,0
EP300,265,0.10205831903945112,0
PPARGC1A,119,0.14641788918957413,0
SIRT1,120,0.22128851540616246,0
NCOR2,93,0.18373071528751753,0
ADIPOR1,10,0.6222222222222222,0
ADIPOQ,54,0.2676450034940601,0
SREBF1,84,0.1689615605278256,1
INS,281,0.08751906456532792,1
PER2,26,0.47692307692307695,0
JUN,210,0.15411255411255412,1
NCOR1,113,0.18821112515802782,0
ARNTL,37,0.3063063063063063,0
SCARB1,88,0.14158829676071055,1
PPARD,34,0.28520499108734404,1
CPT1A,38,0.2930298719772404,1
LPL,80,0.18069620253164556,1
FABP1,27,0.2535612535612536,1
ABCA1,41,0.21341463414634146,1
MED1,197,0.20066300631927897,0
PRKACG,200,0.08683417085427135,0
PRKACA,214,0.08240094774252994,1
HELZ2,5,0.9,0
